Chrono;Fourn.;Article;UC;Prix brut;Validit
112;4010CHR;A2338;Kg;Depuis le 30/11/2021, 4,3647 EUR/Kg;E
112;4010CHR;A1523;Kg;Depuis le 22/07/2021, 3,5200 EUR/POT;E
112;4010CHR;A2190;L;Depuis le 19/10/2021, 1,6500 EUR/L;E
112;4010CHR;A2188;L;Depuis le 19/10/2021, 1,6500 EUR/L;E
112;4010CHR;A2191;L;Depuis le 19/10/2021, 1,6500 EUR/L;E
112;4010CHR;A2189;L;Depuis le 19/10/2021, 1,6500 EUR/L;E
112;4010CHR;A0326;L;Depuis le 22/07/2021, 0,8483 EUR/L;E
112;4010CHR;A1871;L;Depuis le 30/08/2021, 1,0374 EUR/L;E
112;4010CHR;A1520;L;Depuis le 22/07/2021, 1,0374 EUR/L;E
112;4010CHR;A2465;L;Depuis le 13/01/2022, 1,5600 EUR/PAK;E
112;4010CHR;A0373;Kg;Depuis le 13/01/2022, 5,5400 EUR/Kg;E
112;4010CHR;A2464;U;Depuis le 13/01/2022, 3,5800 EUR/PAK;E
62;4010CILAOS;A0872;U;Depuis le 21/06/2021, 5,3500 EUR/PAK;E
62;4010CILAOS;A0873;U;Depuis le 21/06/2021, 3,4100 EUR/PAK;E
62;4010CILAOS;A0874;U;Depuis le 21/06/2021, 6,0400 EUR/PAK;E
140;4010CODISM;A2009;L;Depuis le 08/09/2021, 16,8000 EUR/CAR;E
47;4010COGE;A0689;U;Depuis le 14/06/2021, 2,7900 EUR/U;E
47;4010COGE;A0028;Kg;Depuis le 16/07/2021, 9,2500 EUR/SAC;E
47;4010COGE;A0690;U;Depuis le 14/06/2021, 2,0500 EUR/U;E
47;4010COGE;A0691;L;Depuis le 14/06/2021, 2,7900 EUR/L;E
46;4010COGEDA;A0686;Kg;Depuis le 14/06/2021, 4,6400 EUR/Kg;E
46;4010COGEDA;A2204;Kg;Depuis le 22/10/2021, 4,5200 EUR/Kg;E
46;4010COGEDA;A0687;Kg;Depuis le 14/06/2021, 5,5000 EUR/Kg;E
46;4010COGEDA;A0688;Kg;Depuis le 14/06/2021, 1,3000 EUR/Kg;E
103;4010COINFR;A1320;Kg;Depuis le 14/10/2021, 0,7800 EUR/Kg;E
103;4010COINFR;A0149;P;Depuis le 26/08/2021, 1,6700 EUR/P;E
103;4010COINFR;A0150;Kg;Depuis le 06/10/2021, 2,3500 EUR/Kg;E
103;4010COINFR;A0281;P;Depuis le 11/10/2021, 1,9600 EUR/P;E
103;4010COINFR;A0152;Kg;Depuis le 20/10/2021, 2,8400 EUR/Kg;E
103;4010COINFR;A0153;Kg;Depuis le 26/08/2021, 1,8600 EUR/Kg;E
103;4010COINFR;A1804;Kg;Depuis le 26/08/2021, 1,8600 EUR/Kg;E
103;4010COINFR;A0154;Kg;Depuis le 06/10/2021, 0,0000 EUR/Kg;E
103;4010COINFR;A0155;Kg;Depuis le 29/12/2021, 1,8600 EUR/Kg;E
103;4010COINFR;A0156;Kg;Depuis le 12/02/2022, 1,7600 EUR/Kg;E
103;4010COINFR;A0157;Kg;Depuis le 26/08/2021, 0,9800 EUR/Kg;E
103;4010COINFR;A0158;Kg;Depuis le 06/10/2021, 2,7400 EUR/Kg;E
103;4010COINFR;A2028;Kg;Depuis le 06/10/2021, 1,7600 EUR/Kg;E
103;4010COINFR;A0159;Kg;Depuis le 06/10/2021, 1,9600 EUR/Kg;E
103;4010COINFR;A0160;Kg;Depuis le 06/10/2021, 3,1300 EUR/Kg;E
103;4010COINFR;A2050;Kg;Depuis le 09/07/2021, 7,8000 EUR/KG;E
